船 长 	captain
现 在 的 形 势 对 叛 军 越 来 越 有 利 了	you have made time an ally of the rebellion .
我 建 议 一 举 解 决 两 个 问 题	i suggest we solve both problems simultaneously ...
我 们 现 在 马 上 进 行 武 器 的 测 试	with an immediate test of the weapon .
如 果 测 试 失 败 的 话	failure will find you explaining why
你 要 去 向 陛 下 亲 自 谢 罪	to a far less patient audience .
我 不 会 失 败 的	i will not fail .
怎 么 了 琴 不 要 害 怕	what 's the matter , jyn ? you look frightened .
我 会 永 远 保 护 你	i 'll always protect you .
星 辰	stardust .
勿 忘 初 心	do n't ever change .
相 信	trust .
盖 伦	galen .
正 在 进 入 轨 道 你 来 驾 驶	we 're coming into orbit . you have controls .
这 就 是 杰 达	that 's jedha .
现 在 的 模 样	or what 's left of it .
找 到 索 就 能 找 到 你 父 亲	we find saw , we find your father .
为 什 么 有 歼 星 舰	what 's with the destroyer ?
因 为 你 的 老 朋 友 索 · 格 瑞 拉	it 's because of your old friend , saw gerrera .
他 袭 击 了 那 些 货 船 队	he 's been attacking the cargo shipments .
他 们 在 运 什 么	what are they bringing in ?
他 们 是 在 掠 夺 矿 石	it 's what are they taking out .
凯 伯 水 晶 有 多 少 抢 多 少	kyber crystal . all they can get .
原 本 不 明 白 他 们 为 什 么 要 掠 夺 圣 殿	we wondered why they were stripping the temple .
现 在 知 道 了	now we know .
那 是 武 器 的 能 量 来 源	it 's the fuel for the weapon .
你 父 亲 正 在 建 造 的 武 器	the weapon your father 's building .
也 许 我 们 应 该 把 那 个 活 靶 子 留 下	maybe we should leave target practice behind .
你 是 在 指 我 吗	are you talking about me ?
她 说 得 对 我 们 得 掩 人 耳 目	she 's right . we need to blend in .
你 留 在 船 上	stay with the ship .
我 可 以 掩 人 耳 目 我 是 帝 国 机 器 人	i can blend in . i 'm an imperial droid .
是 帝 国 占 领 这 座 城 市	the city is under imperial occupation .
这 里 有 一 半 人 想 给 你 重 新 编 程	half the people here wanna reprogram you .
另 一 半 想 在 你 头 上 开 个 洞	the other half wanna put a hole in your head .
我 说 你 这 么 关 心 我 有 什 么 企 图 吗	i 'm surprised you 're so concerned with my safety .
我 不 关 心	i 'm not .
只 是 担 心 他 们 要 是 没 瞄 准 打 中 了 我	i 'm just worried they might miss you and hit me .
听 起 来 倒 不 是 件 坏 事	does n't sound so bad to me .
博 · 加 里 特	bor gullet
可 以 感 知	can feel
你 的 想 法	your thoughts .
不 说 谎 你 就 没 事	no lie is safe .
你 的 真 实 意 图 是 什 么 货 船 飞 行 员	what have you really brought me , cargo pilot ?
博 · 加 里 特 会 发 现 真 相	bor gullet will know the truth .
可 惜 有 个 副 作 用 测 试 的 对 象	the unfortunate side effect is that one tends ...
常 常 会 发 疯 的	to lose one 's mind .
不	no !
嗨	hey .
你 给 我 小 心 一 点 儿	you just watch yourself .
等 等 别 别	wait . no , no .
抱 歉 抱 歉	sorry , sir .
我 们 不 是 故 意 的 抱 歉	we do n't want any trouble . sorry .
快 走 快 走	come on . come on .
杰 达 的 市 民 们	citizens of jedha .
如 果 有 发 现 失 踪 飞 行 员 的 线 索	you must come forward with information
请 务 必 报 告 我 们	of the location of this missing cargo pilot .
举 报 者 将 会 获 得 六 百 信 用 币 的 奖 励	a reward of 600 credits for the information shall be awarded .
我 有 个 线 人	i had a contact .
是 索 的 手 下	one of saw 's rebels .
他 最 近 失 踪 了	but he 's just gone missing .
他 的 姐 姐 一 直 在 找 他	his sister will be looking for him .
他 姐 姐 会 在 被 毁 的 圣 殿 里 等 他	the temple 's been destroyed , but she 'll be there waiting .
我 们 会 告 诉 她 你 的 名 字	we 'll give her your name
希 望 他 能 带 我 们 见 到 索	and hope that gets us a meeting with saw .
希 望	hope ?
对 起 义 都 建 立 在 希 望 之 上	yeah . rebellions are built on hope .
把 手 放 在 头 上	hands where i can see them .
到 那 边 去	get over there .
给 我 看 看 身 份 证 进 去 搜	show me some identification . check inside .
都 是 你 的 飞 行 员 惹 的 事	is this all because of your pilot ?
愿 他 人 的 原 力 与 你 同 在	may the force of others be with you .
等 我 一 下	wait for me .
愿 他 人 的 原 力 与 你 同 在	may the force of others be with you .
愿 他 人 的 原 力 与 你 同 在	may the force of others be with you .
你 愿 意 用 那 条 项 链 换 一 个 预 知 命 运 的 机 会 吗	would you trade that necklace for a glimpse into your future ?
对	yes .
我 在 和 你 说 话	i 'm speaking to you .
我 是 奇 鲁 · 英 威	i 'm chirrut imwe .
你 怎 么 知 道 我 戴 着 项 链	how did you know i was wearing a necklace ?
想 知 道 你 得 花 钱	for that answer , you must pay .
你 了 解 凯 伯 水 晶 吗	what do you know about kyber crystals ?
我 父 亲 说	my father , he ...
它 为 绝 地 武 士 的 光 剑 提 供 能 量	he said they powered the jedi 's lightsabers .
琴	jyn .
快 点 儿 该 走 了	come on . let 's go .
最 强 的 星 星 有 凯 伯 水 晶 之 心	the strongest stars have hearts of kyber .
快 走	let 's go .
我 们 不 是 来 这 儿 交 朋 友 的	we 're not here to make friends .
他 们 是 谁	who are they ?
他 们 是 这 里 的 守 卫	the guardians of the whills .
凯 伯 圣 殿 的 保 护 者	protectors of the kyber temple .
可 这 里 已 经 没 有 什 么 值 得 保 护 了	but there 's nothing left to protect .
他 们 现 在 也 只 会 惹 事 生 非	so now they 're just causing trouble for everybody .
你 怎 么 突 然 紧 张 起 来 了	you seem awfully tense all of a sudden .
我 们 得 快 走 这 个 地 方 就 要 炸 翻 天 了	we have to hurry . this town is ready to blow .
帝 国 的 公 民 们	citizens of the empire ...
帝 国 军 队 坚 持 不 懈 地 打 击	imperial forces tirelessly fight
索 · 格 瑞 拉 的 恐 怖 活 动	saw gerrera 's reign of terror ...
正 是 由 于 帝 国 军 队 的 努 力	over the people of this beloved city .
才 得 以 保 卫 这 座 重 要 的 城 镇	truth and justice are the tools of the empire .
你 应 该 有 备 用 计 划 吧	tell me you have a backup plan .
偷 袭	incoming !
看 来 找 到 索 的 起 义 军 了	looks like we found saw 's rebels .
在 上 面	up there !
别 去	jyn , no !
瞄 准 他 们	hit the terrorist .
快 点 回 来	get out of there !
凯 伯 水 晶	kyber ...
快 来	come on !
走 这 边	this way !
卡 西 亚	cassian !
你 知 道 那 不 是 我 吗	did you know that was n't me ?
噢 当 然	yeah . of course .
我 记 得 我 让 你 待 在 船 上 的	i thought i told you to stay on the ship .
没 错 但 我 觉 得 很 无 聊	you did . but i thought it was boring ,
而 且 你 们 有 麻 烦 了	and you were in trouble .
对 于 两 个 要 掩 人 耳 目 的 人 来 说	there were a lot of explosions ...
- 这 动 静 也 太 大 了 - 嗨 站 住	- for two people blending in . - freeze !
你 说 得 对	you 're right .
我 是 应 该 待 在 船 上	i should just wait on the ship .
站 住 站 那 儿 别 动	halt . stop right there .
你 带 这 些 囚 犯 去 哪 儿	where are you taking these prisoners ?
这 些 是 囚 犯	these are prisoners .
对 你 带 他 们 去 哪 儿	yes . where are you taking them ?
我 要 带 他 们 去 关 押 他 们 的 监 狱	i am taking them to imprison them in prison .
- 他 要 带 我 们 去 - 闭 嘴	- he 's taking us to ... - quiet !
你 要 再 啰 嗦 我 就 好 好 收 拾 你	and there 's a fresh one if you mouth off again .
- 囚 犯 由 我 们 接 管 - 不 用 了	- we 'll take them from here . - that 's okay .
指 给 我 正 确 的 方 向 就 行	if you could just point me in the right direction ,
我 能 押 送 他 们	i can take them , i 'm sure .
- 我 已 经 押 着 他 们 走 了 - 嗨 等 一 下	- i 've taken them this far . - hey , wait a second .
- 把 他 们 带 走 - 等 等	- take them away . - wait .
你 不 能 带 走 他 们	you ca n't take them away .
你 待 着 别 动	you . stay here .
我 们 要 检 查 你 的 系 统	we need to check your diagnostics .
检 查 我 的 系 统	diagnostics ?
我 完 全 可 以 自 己 检 查 自 己	i 'm capable of running my own diagnostics ,
谢 谢 你 的 好 意 了	thank you very much .
让 他 们 走 吧	let them pass in peace .
我 说 让 他 们 走	let them pass in peace .
原 力 与 我 同 在	the force is with me .
我 与 原 力 同 在	and i am with the force .
我 无 所 畏 惧	and i fear nothing .
一 切 都 是 原 力 的 意 愿	for all is as the force wills it .
你 站 住 别 动	hey , stop right there .
他 看 不 见	he 's blind .
他 聋 了 吗	is he deaf ?
我 说 了 你 不 许 动	i said stop right there !
你 的 脚 没 事 吧	is your foot all right ?
你 差 点 打 中 我	you almost shot me .
不 用 客 气	you 're welcome .
全 部 消 灭	clear of hostiles .
- 还 差 一 个 - 他 是 我 们 的 人	- one hostile . - he 's with us .
是 自 己 人	they 're all right .
谢 谢	thanks .
卡 西 亚 抱 歉 我 打 了 你	cassian , i 'm sorry about the slap .
回 船 上 去 等 候 我 的 命 令	go back to the ship . wait for my call .
他 是 绝 地	is he a jedi ?
这 里 没 有 绝 地 了	there are no jedi here anymore .
只 剩 下 几 个 傻 瓜 就 像 他	only dreamers like this fool .
原 力 保 佑 了 我	the force did protect me .
是 我 保 佑 了 你	i protected you .
能 带 我 们 见 索 · 格 瑞 拉 吗	can you get us to saw gerrera ?
看 清 楚 了 我 们 可 不 是 帝 国 的 朋 友	ca n't you see ? we are no friends of the empire .
如 果 你 们 杀 了 我 和 我 的 朋 友	anyone who kills me or my friends
会 被 索 · 格 瑞 拉 问 罪 的	will answer to saw gerrera .
因 为 我 是 盖 伦 · 厄 索 的 女 儿	because i 'm the daughter of galen erso .
开 玩 笑 吗 我 是 个 盲 人	are you kidding me ? i 'm blind .
原 力 与 我 同 在 我 与 原 力 同 在	i 'm one with the force , the force is with me .
原 力 与 我 同 在 我 与 原 力 同 在	i 'm one with the force , the force is with me .
念 咒	you pray ?
原 力 与 我 同 在 我 与 原 力 同 在	i 'm one with the force , the force is with me .
真 的 假 的	really ?
原 力 与 我 同 在 我 与 原 力 同 在	i 'm one with the force , the force is with me .
念 咒 能 把 门 念 开	he 's praying for the door to open .
有 人 烦 是 因 为 他 怕 我 成 功	it bothers him because he knows it 's possible .
贝 兹 · 玛 彪 斯 曾 经 比 我 们 所 有 的 人 都 虔 诚 得 多	baze malbus was once the most devoted guardian of us all .
我 觉 得 原 力 和 我 的 意 志 根 本 不 相 吻 合	i 'm beginning to think the force and i have different priorities .
放 松 点 儿 上 尉	relax , captain .
我 们 进 过 更 糟 糕 的 监 狱	we 've been in worse cages than this one .
我 可 是 第 一 次	this is the first for me .
监 狱 有 很 多 种 形 式 上 尉	there is more than one sort of prison , captain .
我 觉 得 你 心 里 就 有 一 座	i sense that you carry yours wherever you go .
琴	jyn .
真 的 是 你	is it really you ?
简 直 难 以 置 信	i ca n't believe it !
是 不 是 大 吃 一 惊	must be quite a surprise .
我 们 还 是 朋 友	are we not still friends ?
上 次 见 面	the last time i saw you ,
你 给 了 我 一 把 刀 一 把 枪	you gave me a knife and loaded blaster ...
让 我 在 地 堡 里 等 到 天 亮	and told me to wait in a bunker till daylight .
我 知 道 你 不 会 有 事	i knew you were safe .
你 丢 下 我 跑 了	you left me behind .
你 那 时 已 经 是 我 最 出 色 的 部 下	you were already the best soldier in my cadre .
- 我 才 16 岁 - 我 是 在 保 护 你	- i was 16 ! - i was protecting you !
你 抛 弃 了 我	you dumped me !
你 不 知 道 你 父 亲 是 帝 国 的 科 学 家	you were the daughter of an imperial science officer .
有 人 猜 出 了 你 的 身 世	people were starting to figure that out .
他 们 会 把 你 当 做 当 做 人 质 的	people who wanted to use you as a hostage .
每 天 我 都 在	not a day goes by ...
牵 挂 着 你	that i do n't think of you .
但 是 没 想 到	but today ...
会 是 今 天	of all days ...
只 是 个 圈 套	it 's a trap .
对 吧	is n't it ?
什 么	what ?
那 个 飞 行 员	the pilot .
那 条 信 息	the message .
这 一 切	all of it .
难 道 你 是	did they send you ?
是 他 们 派 来	did you come here ...
杀 我 的	to kill me ?
我 已 经 是 半 死 的 人	there 's not much of me left .
同 盟 想 找 我 父 亲	the alliance wants my father .
据 说 他 给 你 发 了 一 份 武 器 情 报	they think he sent you a message about a weapon .
我 想 他 们 派 我 来	i guess they think by sending me ,
是 希 望 你 能 帮 助 他 们	you might actually help them out .
那 你 想 得 到 什 么 琴	so what is it that you want , jyn ?
他 们 让 我 做 的 事 我 做 了	they wanted an introduction , they 've got it .
我 要 走 了	i 'm out now .
剩 下 的 事 你 们 自 己 商 量	rest of you can do what you want .
你 放 弃 了 我 们 的 事 业	you care not about the cause ?
我 们 的 事 业	the cause ?
你 别 傻 了	seriously ?
同 盟	the alliance ...
起 义 军 不 管 是	the rebels , whatever it is
加 上 什 么 冠 冕 堂 皇 的 名 词	you 're calling yourself these days ...
只 能 带 给 我 痛 苦	all it 's ever brought me is pain .
你 马 上 就 能 看 到 帝 国 旗 帜	you can stand to see the imperial flag
插 遍 整 个 银 河 系	reign across the galaxy ?
不 抬 头 看 不 就 行 了	it 's not a problem if you do n't look up .
给 你 看 样 东 西	i have something to show you .
来	come .
皇 帝 一 直 在 等 我 的 报 告	the emperor is awaiting my report .
我 还 以 为 陛 下 会 和 维 德 大 人	one would hope that he and lord vader
亲 临 现 场	might 've been here for such an occasion .
经 过 慎 重 考 虑	and i thought it prudent to save you
我 不 想 让 你 当 众 出 丑	from any potential embarrassment .
你 的 担 心 几 乎 没 有 必 要	your concern 's hardly warranted .
那 只 是 你 一 个 人 的 看 法	if saying it would only make it so .
所 有 的 帝 国 部 队 都 已 经 撤 离 了	all imperial forces have been evacuated ...
我 随 时 可 以 摧 毁 整 颗 卫 星	and i stand ready to destroy the entire moon .
没 必 要	that wo n't be necessary .
我 要 的 是 火 力 演 示 不 是 全 国 通 告	we need a statement , not a manifesto .
仅 摧 毁 圣 城 就 足 够 了	the holy city will be enough for today .
瞄 准 杰 达 城	target jedha city .
准 备 单 反 应 堆 点 火	prepare single reactor ignition .
长 官 已 经 就 位 我 们	sir , we 're in position ...
开 火	fire !
启 动 主 点 火 程 序	commence primary ignition .
隔 壁 牢 房 是 谁	who 's the one in the next cell ?
什 么	what ?
哪 儿	where ?
一 个 帝 国 的 飞 行 员	an imperial pilot .
- 飞 行 员 - 我 要 宰 了 他	- pilot ? - i 'm gonna kill him !
- 等 等 等 等 - 过 来	- no , no . no , wait ! - come here !
不	no !
退 后 退 后	back off ! back off !
好 了 没 事 了	okay , okay .
你 是 飞 行 员	are you the pilot ?
嗨 嗨	hey . hey .
你 是 那 个 货 船 飞 行 员 吗	are you the pilot ? the shuttle pilot ?
飞 行 员	pilot ?
他 怎 么 了	what 's wrong with him ?
盖 伦 · 厄 索	galen erso .
你 认 识 他 吗	you know that name ?
我 带 来 了 信 息 我 是 飞 行 员	i brought the message . i 'm the pilot .
我 是 飞 行 员	i 'm the pilot .
我 是 飞 行 员	i 'm the pilot .
是 吗 太 好 了	okay . good .
那 么 盖 伦 · 厄 索 在 哪 儿	now where is galen erso ?
准 备 就 绪	stand by .
这 就 是 我 收 到 的 信 息	this is the message i was sent .
索 如 果 你 看 到 这 条 信 息	saw , if you are watching this ...
可 能 还 有 机 会 去 挽 救 同 盟	then perhaps there 's a chance to save the alliance .
还 有 机 会 让 我 进 行 自 我 辩 解	perhaps there 's a chance to explain myself ...
虽 然 我 不 敢 抱 太 大 的 希 望	and , though i do n't dare hope for too much ...
可 能 有 机 会 救 琴 如 果 她 还 活 着	a chance for jyn , if she 's alive ...
如 果 你 能 找 到 她 的 话	if you can possibly find her ...
请 你 告 诉 她 我 对 她 的 爱 从 来 没 有 改 变 过	to let her know that my love for her has never faded ...
我 始 终 在 思 念 着 她	and how desperately i 've missed her .
琴 我 的 星 尘	jyn , my stardust ...
我 不 敢 想 象 你 会 怎 么 看 我	i ca n't imagine what you think of me .
我 被 带 走 的 时 候 承 受 着 痛 苦 的 事 实	when i was taken , i faced some bitter truths .
他 们 对 我 说	i was told that soon enough
科 伦 尼 克 很 快 会 抓 住 你	krennic would have you as well .
后 来 我 不 断 地 想	as time went by ...
你 也 许 死 了	i knew that you were either dead ...
也 许 躲 过 了 他 们 的 搜 捕	or so well hidden that he would never find you .
我 知 道 如 果 我 拒 绝 合 作 如 果 我 自 杀	i knew if i had refused to work , if i took my own life ...
那 么 用 不 了 多 久 科 伦 尼 克 就 会 发 现	it would only be a matter of time before krennic realized ...
没 有 我 他 也 能 完 成 项 目	he no longer needed me to complete the project .
但 是 有 件 事 他 没 有 想 到	so i did the one thing nobody expected .
我 骗 了 他	i lied .
我 学 会 了 欺 骗	i learned to lie .
我 扮 演 着 绝 望 潦 倒 的 角 色	i played the part of a beaten man
靠 工 作 来 麻 醉 自 己	resigned to the sanctuary of his work .
我 让 自 己 变 得 不 可 或 缺	i made myself indispensable ...
同 时 还 埋 下 了 复 仇 的 种 子	and all the while , i laid the groundwork of my revenge .
我 们 叫 它 死 星	we call it the death star .
这 座 名 副 其 实 的 死 亡 行 星	there is no better name ...
很 快 就 会 正 式 竣 工	and the day is coming soon when it will be unleashed .
我 在 系 统 深 处 设 计 了 一 个 漏 洞	i 've placed a weakness deep within the system ...
一 个 小 到 他 们 无 法 找 到 的 致 命 缺 陷	a flaw so small and powerful , they will never find it .
但 是 琴	but , jyn ...
如 果 你 能 听 到 我 的 爱 女	jyn , if you 're listening , my beloved ...
我 的 一 生 已 经 白 白 耗 尽 了	so much of my life has been wasted .
我 只 有 在 最 坚 强 的 时 候	i try to think of you only in the moments when i 'm strong ...
才 敢 想 起 你 一 想 到 失 去 你	because the pain of not having you with me ...
和 你 母 亲 我 们 的 家 庭	your mother , our family .
那 种 痛 苦 刻 骨 铭 心	the pain of that loss is so overwhelming ...
我 现 在 仍 然 难 以 承 受	i risk failing even now .
我 又 怎 么 能 不 想 你 呢	it 's just so hard not to think of you .
你 到 底 在 什 么 地 方	think of where you are ...
我 的 星 尘	my stardust .
索	saw ...
反 应 堆 模 块 是 关 键 部 位	the reactor module , that 's the key .
我 在 那 里 设 计 了 陷 阱	that 's the place i 've laid my trap .
它 很 隐 蔽 但 很 不 稳 定	it 's well hidden and unstable .
只 要 局 部 发 生 爆 炸 就 会 摧 毁 整 座 太 空 站	one blast to any part of it will destroy the entire station .
你 需 要 设 计 图	you 'll need the plans ...
有 了 死 星 结 构 设 计 图 才 能 找 到 反 应 堆	the structural plans for the death star , to find the reactor .
我 知 道 斯 卡 里 夫 的 塔 堡 数 据 库 里	i know there 's a complete engineering archive ...
存 有 一 套 完 整 的 工 程 档 案	in the data vault at the citadel tower on scarif .
反 应 堆 模 块 的 高 压 一 旦 爆 炸	any pressurized explosion to the reactor module ...
就 会 触 发 连 锁 反 应 摧 毁 整 座 太 空 站	will set off a chain reaction that will destroy the entire station .
走 走	go , go !
K-2 K-2 你 在 哪 儿	k-2 , k-2 ! where are you ?
终 于 说 话 了	there you are .
我 一 直 在 等 待 你 的 命 令	i 'm standing by as you requested ...
你 猜 我 看 到 了 什 么 卡 西 亚	although there 's a problem on the horizon .
消 失 的 地 平 线	there 's no horizon .
标 记 我 们 的 方 位 把 船 开 过 来 快	locate our position . bring that ship in here , now !
你 要 去 哪 儿	where are you going ?
我 去 找 琴	i gotta find jyn .
带 上 飞 行 员 我 们 需 要 他	get the pilot , we need him !
好 吧	all right .
飞 行 员 交 给 我 了	i 'll get the pilot .
飞 行 员	pilot .
别 别 别	no , no , no !
跟 我 走	let 's go .
琴	jyn !
琴	jyn !
嗨	hey .
我 们 得 走 了	we gotta go .
我 知 道 你 父 亲 在 哪 儿 了	i know where your father is .
跟 他 走 琴	go with him , jyn .
快 点 走	you must go !
跟 我 们 走 吧	come with us .
我 不 会 再 逃 跑 了	i will run no longer .
- 快 走 - 但 你 必 须 活 下 去	- come on . - but you must save yourself .
- 快 走 - 走	- come on . - go !
没 时 间 了	there 's no time !
拯 救 义 军	save the rebellion !
拯 救 梦 想	save the dream .
噢 太 美 了	oh , it 's beautiful .
奇 鲁 快 走	chirrut , let 's go !
快 走	come on !
快 离 开 这 儿	let 's get out of here !
快 离 开 这 儿	get us out of here !
快 走	punch it !
我 们 的 存 活 机 率 不 太 乐 观	i 'm not very optimistic about our odds .
闭 嘴 K	not now , k .
快 点 儿	come on !
加 速	punch it .
抱 歉 我 还 没 有 完 成 运 算	i have n't completed my calculations .
我 来 帮 你 算	i 'll make them for you .
我 应 该 向 你 道 歉 科 伦 尼 克 总 监	i believe i owe you an apology , director krennic .
你 的 成 果 完 全 超 出 了 预 期	your work exceeds all expectations .
你 会 如 实 禀 报 皇 帝 吗	and you 'll tell the emperor as much ?
我 会 告 诉 他 对 你 频 频 失 误 的 耐 心	i will tell him that his patience with your misadventures ...
终 于 换 回 了	has been rewarded with a weapon
一 种 可 以 迅 速 终 止 叛 乱 的 武 器	that will bring a swift end to the rebellion .
但 是 这 还 只 是 它 全 部 实 力 的	and that that was only an inkling
一 点 锋 芒 而 已	of its destructive potential .
我 还 将 告 诉 他 我 会 立 即 接 管	i will tell him that i will be taking control over the weapon ...
这 个 多 年 以 前 我 最 先 提 议 建 造 的 武 器	i first spoke of years ago effective immediately .
这 一 切 根 本 就 是 我 的 成 就	we stand here amidst my achievement .
不 是 你 的	not yours !
我 想 最 近 的 安 全 漏 洞 已 经 暴 露 了	i 'm afraid the recent security breaches ...
你 所 欠 缺 的 军 事 领 导 力	have laid bare your inadequacies as a military director .
漏 洞 我 已 经 补 上 了	the breaches have been filled .
杰 达 也 已 经 被 消 灭 了	jedha has been silenced .
那 个 飞 行 员 并 非 擅 自 行 动	you think this pilot acted alone ?
已 经 查 清 楚 了 他 来 自 伊 杜 基 地	he was dispatched from the installation on eadu ...
盖 伦 · 厄 索 的 研 究 中 心	galen erso 's facility .
我 们 会 搞 清 的	oh , we 'll see about this .
安 多 上 尉 的 加 密 信 息 长 官	a coded message from captain andor , sir .
武 器 情 报 属 实	" weapon confirmed . "
杰 达 已 经 被 摧 毁	" jedha destroyed . "
任 务 目 标 位 于 伊 杜 请 指 示	" mission target located on eadu , please advise . "
被 摧 毁	destroyed ?
回 电	proceed .
告 诉 他 原 来 的 命 令 维 持 不 变	tell him my orders still stand .
必 须 让 他 加 快 速 度	tell him to proceed with haste ...
严 格 执 行 计 划	and keep to the plan .
我 们 不 知 道 他 还 在 为 帝 国 建 造 什 么	we have no idea what he 's building for the empire .
必 须 抓 住 机 会 除 掉 盖 伦 · 厄 索	we have to kill galen erso while we have the chance .
贝 兹 告 诉 我	baze , tell me .
全 没 了 吗	all of it ?
整 座 城 市	the whole city ?
告 诉 我	tell me .
全 没 了	all of it .
我 明 白 了	understood .
我 们 现 在 前 往 伊 杜	set course for eadu .
正 在 设 定 航 线	setting course for eadu .
我 父 亲 在 那 儿 吗	is that where my father is ?
我 相 信 是	i think so .
你 是 盖 伦 的 女 儿	so you 're galen 's daughter ?
你 认 识 他	you know him ?
我 是 菩 提 那 个 飞 行 员	i am bodhi , the pilot .
信 息 是 你 带 来 的	you brought the message .
是 的	yes .
你 父 亲	your father ...
他 跟 我 说 可 以 将 功 补 过	he said i could get right by myself .
他 说 我 可 以 纠 正 错 误	he said i could make it right ...
只 要 我 听 从 自 己	if i was brave enough ...
敢 于 挺 身 而 出	to listen to what was in my heart .
可 惜 现 在	do something about it .
现 在 已 经 晚 了	guess it was too late .
现 在 还 不 晚	it was n't too late .
对 我 来 说 的 确 是 太 晚 了	seems pretty late to me .
不	no .
我 们 可 以 打 败 那 些 凶 手	we can beat the people who did this .
我 父 亲 的 信 息 我 看 到 了	my father 's message , i 've seen it .
他 们 叫 它 死 星	they call it the death star .
但 是 他 们 不 知 道	but they have no idea ...
死 星 有 个 弱 点	there 's a way to defeat it .
你 冤 枉 了 我 父 亲	you 're wrong about my father .
反 正 是 他 造 的	he did build it .
因 为 他 知 道 有 没 有 他 都 一 样	because he knew they 'd do it without him .
我 父 亲 做 了 决 定	my father made a choice .
为 起 义 军 他 不 惜 牺 牲 自 己	he sacrificed himself for the rebellion .
他 在 武 器 上 设 计 了 陷 阱	he 's rigged a trap inside it .
所 以 他 派 你 来 传 递 信 息	that 's why he sent you , to bring that message .
在 哪 儿	where is it ?
信 息 在 哪 儿	where 's the message ?
是 一 段 全 息 录 像	it was a hologram .
你 拿 到 信 息 了 对 吗	you have that message , right ?
当 时 情 况 紧 急	everything happened so fast .
你 看 过 吗	did you see it ?
你 不 相 信 我	you do n't believe me ?
你 要 说 服 的 人 不 是 我	i 'm not the one you 've got to convince .
我 相 信 她	i believe her .
那 她 得 谢 谢 你	that 's good to know .
是 什 么 样 的 陷 阱	what kind of trap ?
你 说 你 爸 爸 设 了 个 陷 阱	you said your father made a trap .
反 应 堆 他 设 计 了 一 个 结 构 缺 陷	the reactor . he 's placed a weakness there .
他 隐 瞒 了 多 年	he 's been hiding it for years .
如 果 你 炸 掉 反 应 堆 模 块	he said if you can blow the reactor ,
整 个 系 统 就 会 崩 溃	the module , the whole system goes down .
你 必 须 报 告 同 盟	you need to send word to the alliance .
我 刚 报 告 过	i 've done that .
他 们 必 须 知 道 有 办 法 摧 毁 武 器	they have to know there 's a way to destroy this thing .
必 须 去 斯 卡 里 夫 窃 取 设 计 图	they have to go to scarif to get the plans .
我 不 能 冒 险 发 送 信 息	i ca n't risk sending that .
我 们 已 经 深 入 帝 国 境 内 了	we 're in the heart of imperial territory .
那 我 们 应 该 去 救 他 回 来	then we 'll find him and bring him back .
他 可 以 亲 自 告 诉 他 们	and he can tell them himself .
伊 杜 航 线 设 定 完 毕 长 官	course set for eadu , sir .
我 与 原 力 同 在 原 力 与 我 同 在	i 'm one with the force , the force is with me .
右 转 20 度	20 degrees to the right .
仰 角 10 度	10 degrees up .
再 低 一 点 儿 低 一 点 儿	lower , lower , lower . lower !
你 确 定 是 这 个 方 向 吗	are you sure this is the way ?
他 们 有 追 踪 器	they have landing trackers here .
还 有 战 斗 机 巡 逻	they have patrol squadrons .
我 们 必 须 在 低 空 飞 行	you 've got to stay in the canyon . keep it low .
小 心 右 边	watch your right !
失 败 概 率 26%	there 's a 26 % chance of failure .
我 们 还 有 多 远	how much farther ?
我 不 知 道 不 确 定 我 没 去 过 那 条 路 线	i do n't know , i 'm not sure . i never really come this way .
很 近 了 我 知 道 很 近 了	but we 're close , we 're close . i know that .
失 败 概 率 35%	now , there 's a 35 % chance of failure .
我 不 想 知 道 谢 谢	i do n't wanna know . thank you !
我 懂 你	i understand .
降 落 赶 快 降 落	now ! put it down , now !
风 太 大	the wind .
再 往 前 我 们 就 飞 过 穿 梭 机 站 了	if you keep going , you 'll be right over the shuttle depot .
- 小 心 - K	- watch out ! - k !
大 家 抓 紧	hold on tight !
我 们 要 迫 降 了	we 're coming down hard !
继 续 呼 叫	try them again .
遵 命 长 官 可 是	i am , sir . we ...
我 们 信 号 消 失 了	the signal 's gone dead .
战 斗 机 起 飞	squadron up .
目 标 伊 杜	target eadu .
怎 么 样 检 查 了 稳 定 器	how about now ? check stabilizers .
菩 提 实 验 室 在 哪 儿	bodhi , where 's the lab ?
你 问 研 究 中 心 吗	the research facility ?
对 在 哪 儿	yeah . where is it ?
翻 过 那 座 山 就 是	it 's just over that ridge .
我 们 正 前 方 应 该 是 一 个 穿 梭 机 站	that 's a shuttle depot straight ahead of us .
- 你 确 定 吗 - 确 定	- you are sure of that ? - yes .
但 愿 我 们 能	we 'll have to hope
从 那 里 偷 出 一 艘 帝 国 飞 船	there 's still an imperial ship left to steal .
我 的 计 划 是 这 样 的	here 's what we 're doing .
风 暴 暂 时 还 不 会 停 正 好 可 以 掩 护 我 们	hopefully the storm keeps up and keeps us hidden down here .
菩 提 你 跟 我 一 起 走	bodhi , you 're coming with me .
我 们 去 山 脊 上 查 看 情 况	we 'll go up the ridge and check it out .
我 们 跟 你 们 一 起 去	i 'm coming with you .
不 你 父 亲 的 信 息	no , your father 's message .
你 是 送 信 人 你 不 能 冒 险	we ca n't risk it . you 're the messenger .
这 算 什 么 逻 辑 我 们 大 家 都 知 道	that 's ridiculous , we all got the message .
信 息 内 容	everyone here knows it .
